,Unnamed: 0,Time,Area,cell_number
644,644,644,2081,cell_1
645,645,645,2099,cell_1
646,646,646,2102,cell_1
647,647,647,2081,cell_1
648,648,648,2083,cell_1
649,649,649,2089,cell_1
650,650,650,2083,cell_1
651,651,651,2051,cell_1
652,652,652,2073,cell_1
653,653,653,2080,cell_1
654,654,654,2085,cell_1
655,655,655,2100,cell_1
656,656,656,2082,cell_1
657,657,657,2092,cell_1
658,658,658,2083,cell_1
659,659,659,2095,cell_1
660,660,660,2076,cell_1
661,661,661,2092,cell_1
662,662,662,2086,cell_1
663,663,663,2063,cell_1
664,664,664,2085,cell_1
665,665,665,2069,cell_1
666,666,666,2085,cell_1
667,667,667,2088,cell_1
668,668,668,2079,cell_1
669,669,669,2087,cell_1
670,670,670,2074,cell_1
671,671,671,2100,cell_1
672,672,672,2076,cell_1
673,673,673,2086,cell_1
674,674,674,2081,cell_1
675,675,675,2076,cell_1
676,676,676,2087,cell_1
677,677,677,2093,cell_1
678,678,678,2075,cell_1
679,679,679,2097,cell_1
680,680,680,2084,cell_1
681,681,681,2094,cell_1
682,682,682,2085,cell_1
683,683,683,2085,cell_1
684,684,684,2067,cell_1
685,685,685,2076,cell_1
686,686,686,2079,cell_1
687,687,687,2070,cell_1
688,688,688,2079,cell_1
689,689,689,2070,cell_1
690,690,690,2070,cell_1
691,691,691,2071,cell_1
692,692,692,2092,cell_1
693,693,693,2096,cell_1
694,694,694,2086,cell_1
695,695,695,2075,cell_1
696,696,696,2084,cell_1
697,697,697,2090,cell_1
698,698,698,2086,cell_1
699,699,699,2089,cell_1
700,700,700,2059,cell_1
701,701,701,2087,cell_1
702,702,702,2025,cell_1
703,703,703,2096,cell_1
704,704,704,2093,cell_1
705,705,705,2095,cell_1
706,706,706,2090,cell_1
707,707,707,2092,cell_1
708,708,708,2080,cell_1
709,709,709,2080,cell_1
710,710,710,2082,cell_1
711,711,711,2093,cell_1
712,712,712,2071,cell_1
713,713,713,2085,cell_1
714,714,714,2081,cell_1
715,715,715,2090,cell_1
716,716,716,2070,cell_1
717,717,717,2086,cell_1
718,718,718,2083,cell_1
719,719,719,2089,cell_1
720,720,720,2104,cell_1
721,721,721,2081,cell_1
722,722,722,2091,cell_1
723,723,723,2069,cell_1
724,724,724,2085,cell_1
725,725,725,2064,cell_1
726,726,726,2081,cell_1
727,727,727,2092,cell_1
728,728,728,2096,cell_1
729,729,729,2049,cell_1
730,730,730,2089,cell_1
731,731,731,2097,cell_1
732,732,732,2100,cell_1
733,733,733,2058,cell_1
734,734,734,2085,cell_1
